idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
109,19.435,-99.148,1012,-0.26,0.21,3,-0.22,0.24,1,-0.21,0.24,1,-0.23,0.25,2,-0.21,0.31,2,-0.21,0.22,1,-0.18,0.24,1,-0.21,0.24,1
110,19.427,-99.169,1072,-0.14,0.24,1,-0.14,0.26,2,-0.11,0.26,2,-0.11,0.27,2,-0.1,0.29,2,-0.1,0.11,1,-0.11,0.11,6,-0.11,0.22,1
111,19.427,-99.167,964,-0.17,0.25,2,-0.16,0.23,1,-0.14,0.26,2,-0.17,0.27,2,-0.13,0.33,2,-0.15,0.16,1,-0.18,0.11,1,-0.15,0.23,1
112,19.429,-99.157,1050,-0.31,0.5,5,-0.31,0.55,5,-0.31,0.55,5,-0.3,0.54,5,-0.24,0.57,2,-0.17,0.2,1,-0.24,0.16,1,-0.26,0.43,5
113,19.429,-99.163,2115,-0.58,0.35,4,-0.61,0.37,4,-0.63,0.37,4,-0.64,0.39,4,-0.66,0.38,4,-0.42,0.19,3,-0.29,0.15,3,-0.54,0.31,4
114,19.43,-99.169,986,-0.19,0.62,2,-0.19,0.69,2,-0.15,0.71,2,-0.14,0.68,2,-0.1,0.66,2,-0.12,0.45,2,-0.15,0.31,2,-0.14,0.58,2
115,19.436,-99.158,1012,-0.19,0.16,1,-0.2,0.16,1,-0.2,0.19,1,-0.19,0.2,1,-0.18,0.24,1,-0.17,0.13,1,-0.16,0.1,1,-0.18,0.16,1
116,19.438,-99.166,1041,-0.16,0.22,1,-0.15,0.23,1,-0.12,0.24,1,-0.12,0.24,1,-0.12,0.27,2,-0.11,0.17,1,-0.12,0.14,1,-0.12,0.21,1
117,19.441,-99.152,987,-0.12,0.17,1,-0.1,0.18,1,-0.09,0.17,1,-0.09,0.19,1,-0.08,0.2,1,-0.09,0.15,1,-0.09,0.11,1,-0.09,0.16,1
118,19.441,-99.153,1010,-0.15,0.04,1,-0.16,0.04,1,-0.17,0.04,1,-0.17,0.04,1,-0.14,0.04,1,-0.06,0.03,1,-0.06,0.03,1,-0.13,0.03,1
119,19.437,-99.162,1018,-0.34,0.06,3,-0.34,0.08,3,-0.36,0.08,3,-0.36,0.07,3,-0.3,0.09,3,-0.21,0.07,1,-0.17,0.08,1,-0.29,0.07,3
120,19.442,-99.152,992,-0.18,0.05,1,-0.21,0.05,1,-0.22,0.04,1,-0.22,0.03,1,-0.18,0.04,1,-0.14,0.03,1,-0.1,0.02,1,-0.17,0.03,1
121,19.425,-99.175,1047,-0.51,0.1,3,-0.52,0.1,3,-0.53,0.09,3,-0.49,0.1,3,-0.43,0.14,3,-0.29,0.17,3,-0.25,0.14,3,-0.43,0.12,3
122,19.439,-99.16,950,-0.1,0.42,2,-0.09,0.48,2,-0.07,0.47,2,-0.07,0.47,2,-0.08,0.5,2,-0.08,0.35,2,-0.12,0.25,2,-0.08,0.42,2
123,19.43,-99.16,979,-0.21,0.23,1,-0.19,0.17,1,-0.16,0.22,1,-0.17,0.25,2,-0.16,0.31,2,-0.13,0.23,1,-0.15,0.14,1,-0.16,0.22,1
124,19.443,-99.153,1046,-0.05,0.13,1,-0.03,0.14,1,-0.03,0.16,1,-0.03,0.16,1,-0.03,0.18,1,-0.03,0.12,1,-0.04,0.1,1,-0.03,0.14,1
125,19.425,-99.164,959,-0.07,0.22,1,-0.05,0.28,2,-0.04,0.25,2,-0.06,0.26,2,-0.04,0.26,2,-0.07,0.17,1,-0.07,0.12,1,-0.05,0.22,1
126,19.432,-99.162,953,-0.28,0.46,5,-0.23,0.48,2,-0.19,0.52,2,-0.22,0.51,2,-0.17,0.56,2,-0.17,0.45,2,-0.2,0.33,2,-0.2,0.47,2
127,19.431,-99.167,982,-0.18,0.63,2,-0.14,0.66,2,-0.12,0.69,2,-0.13,0.7,2,-0.12,0.73,2,-0.17,0.59,2,-0.16,0.53,2,-0.14,0.64,2
128,19.421,-99.156,996,-0.24,0.25,2,-0.23,0.23,6,-0.22,0.21,1,-0.24,0.26,2,-0.18,0.29,2,-0.14,0.29,2,-0.15,0.22,1,-0.2,0.25,2
129,19.415,-99.155,984,-0.36,0.22,3,-0.39,0.26,4,-0.38,0.24,3,-0.42,0.24,3,-0.36,0.23,3,-0.18,0.22,1,-0.2,0.18,1,-0.32,0.22,3
130,19.412,-99.158,976,-0.14,0.44,2,-0.11,0.51,2,-0.1,0.5,2,-0.1,0.52,2,-0.13,0.57,2,-0.1,0.46,2,-0.1,0.43,2,-0.11,0.49,2
131,19.444,-99.152,2011,-0.12,0.19,1,-0.13,0.22,1,-0.12,0.23,1,-0.14,0.22,1,-0.12,0.2,1,-0.06,0.12,1,-0.05,0.09,1,-0.1,0.18,1
132,19.43,-99.171,988,-0.14,0.41,2,-0.12,0.45,2,-0.09,0.47,2,-0.09,0.47,2,-0.12,0.49,2,-0.15,0.38,2,-0.15,0.3,2,-0.12,0.42,2
133,19.419,-99.157,992,-0.22,0.22,6,-0.19,0.24,1,-0.18,0.27,2,-0.21,0.27,2,-0.17,0.34,2,-0.13,0.31,2,-0.13,0.26,2,-0.17,0.27,2
134,19.416,-99.162,842,-0.34,0.19,3,-0.34,0.25,4,-0.36,0.18,3,-0.35,0.22,3,-0.34,0.2,3,-0.21,0.17,1,-0.21,0.14,1,-0.3,0.19,3
135,19.41,-99.184,963,-0.14,0.22,1,-0.11,0.27,2,-0.1,0.3,2,-0.1,0.32,2,-0.1,0.33,2,-0.11,0.24,1,-0.11,0.21,1,-0.1,0.27,2
136,19.413,-99.183,989,-0.23,0.12,1,-0.21,0.13,1,-0.2,0.13,1,-0.19,0.15,1,-0.19,0.15,1,-0.17,0.14,1,-0.16,0.14,1,-0.19,0.13,1
137,19.428,-99.199,992,-0.23,0.51,2,-0.21,0.47,2,-0.19,0.5,2,-0.18,0.55,2,-0.18,0.61,2,-0.14,0.56,2,-0.17,0.46,2,-0.18,0.52,2
138,19.433,-99.206,961,-0.13,0.36,2,-0.11,0.35,2,-0.12,0.37,2,-0.11,0.43,2,-0.1,0.46,2,-0.09,0.39,2,-0.12,0.32,2,-0.11,0.38,2
139,19.436,-99.192,983,-0.24,0.14,1,-0.23,0.15,1,-0.22,0.17,1,-0.23,0.2,1,-0.2,0.17,1,-0.2,0.13,1,-0.16,0.13,1,-0.21,0.15,1
140,19.438,-99.197,993,-0.34,0.24,3,-0.34,0.29,4,-0.34,0.23,3,-0.34,0.25,4,-0.31,0.23,3,-0.24,0.16,1,-0.23,0.15,1,-0.3,0.22,3
141,19.432,-99.181,962,-0.27,0.21,3,-0.22,0.24,1,-0.22,0.26,2,-0.22,0.28,2,-0.2,0.27,2,-0.16,0.23,1,-0.12,0.23,1,-0.2,0.24,1
142,19.408,-99.155,836,-0.06,0.06,6,-0.05,0.07,1,-0.05,0.08,1,-0.05,0.08,1,-0.05,0.08,1,-0.05,0.08,1,-0.05,0.06,1,-0.05,0.07,1
143,19.435,-99.183,994,-0.31,0.17,3,-0.27,0.2,3,-0.24,0.21,1,-0.27,0.22,3,-0.23,0.23,6,-0.16,0.25,2,-0.11,0.35,2,-0.22,0.23,1
144,19.431,-99.196,979,-0.26,0.19,3,-0.23,0.19,1,-0.21,0.18,1,-0.25,0.18,3,-0.22,0.19,1,-0.15,0.11,1,-0.12,0.12,6,-0.2,0.16,1
145,19.433,-99.196,837,-0.27,0.23,3,-0.21,0.25,2,-0.21,0.27,2,-0.19,0.25,2,-0.16,0.26,2,-0.13,0.24,1,-0.11,0.22,1,-0.18,0.24,1
146,19.434,-99.188,2007,-0.15,0.15,6,-0.14,0.15,1,-0.14,0.16,1,-0.15,0.15,6,-0.13,0.16,1,-0.09,0.18,1,-0.1,0.13,1,-0.12,0.15,1
147,19.417,-99.157,955,-0.43,0.28,4,-0.48,0.32,4,-0.48,0.26,4,-0.46,0.28,4,-0.46,0.27,4,-0.3,0.24,3,-0.24,0.24,6,-0.4,0.27,4
148,19.431,-99.203,1028,-0.27,0.18,3,-0.24,0.18,1,-0.27,0.14,3,-0.24,0.16,1,-0.27,0.17,3,-0.18,0.16,1,-0.21,0.12,1,-0.24,0.15,1
149,19.43,-99.194,931,-0.22,0.08,1,-0.28,0.06,3,-0.28,0.07,3,-0.25,0.07,3,-0.24,0.06,1,-0.18,0.08,1,-0.18,0.07,1,-0.23,0.07,1
150,19.437,-99.208,930,-0.33,0.16,3,-0.39,0.12,3,-0.42,0.09,3,-0.43,0.08,3,-0.41,0.1,3,-0.3,0.05,3,-0.26,0.07,3,-0.36,0.09,3
151,19.434,-99.203,862,-0.28,0.2,3,-0.34,0.23,3,-0.34,0.22,3,-0.34,0.17,3,-0.31,0.19,3,-0.19,0.15,1,-0.19,0.14,1,-0.28,0.18,3
152,19.432,-99.188,1039,-0.29,0.15,3,-0.35,0.09,3,-0.34,0.09,3,-0.35,0.11,3,-0.32,0.09,3,-0.25,0.09,3,-0.23,0.07,1,-0.3,0.09,3
153,19.441,-99.196,1031,-0.42,0.12,3,-0.45,0.12,3,-0.43,0.1,3,-0.46,0.15,3,-0.44,0.1,3,-0.23,0.17,1,-0.24,0.08,1,-0.38,0.12,3
154,19.426,-99.191,1053,-0.38,0.18,3,-0.46,0.13,3,-0.46,0.12,3,-0.46,0.11,3,-0.47,0.1,3,-0.22,0.09,1,-0.15,0.08,1,-0.37,0.11,3
155,19.442,-99.2,254,-0.27,0.24,3,-0.26,0.21,3,-0.24,0.23,1,-0.25,0.28,5,-0.27,0.22,3,-0.15,0.14,1,-0.15,0.15,6,-0.22,0.2,1
156,19.425,-99.185,837,-0.5,0.06,3,-0.55,0.08,3,-0.54,0.06,3,-0.56,0.08,3,-0.54,0.05,3,-0.28,0.08,3,-0.24,0.05,1,-0.45,0.06,3
157,19.425,-99.159,1035,-0.45,0.24,3,-0.54,0.2,3,-0.56,0.17,3,-0.51,0.16,3,-0.56,0.15,3,-0.38,0.14,3,-0.35,0.13,3,-0.47,0.17,3
158,19.414,-99.158,940,-0.35,0.2,3,-0.45,0.16,3,-0.44,0.16,3,-0.43,0.16,3,-0.46,0.12,3,-0.36,0.09,3,-0.29,0.1,3,-0.39,0.14,3
159,19.41,-99.164,929,-0.29,0.21,3,-0.32,0.2,3,-0.3,0.19,3,-0.31,0.19,3,-0.26,0.18,3,-0.11,0.19,1,-0.13,0.16,1,-0.24,0.18,1
160,19.406,-99.165,899,-0.32,0.2,3,-0.36,0.22,3,-0.36,0.2,3,-0.33,0.19,3,-0.3,0.15,3,-0.2,0.16,1,-0.23,0.15,1,-0.3,0.18,3
161,19.428,-99.161,1039,-0.18,0.14,1,-0.24,0.12,1,-0.25,0.11,3,-0.26,0.1,3,-0.25,0.09,3,-0.22,0.07,1,-0.16,0.06,1,-0.22,0.09,1
162,19.402,-99.156,1162,-0.23,0.08,1,-0.24,0.07,1,-0.24,0.08,1,-0.22,0.06,1,-0.23,0.07,1,-0.18,0.06,1,-0.17,0.06,1,-0.21,0.06,1
163,19.423,-99.17,984,-0.21,0.07,1,-0.23,0.08,1,-0.27,0.08,3,-0.26,0.07,3,-0.25,0.06,3,-0.17,0.06,1,-0.18,0.06,1,-0.22,0.06,1
164,19.427,-99.158,913,-0.38,0.15,3,-0.42,0.17,3,-0.44,0.12,3,-0.48,0.11,3,-0.39,0.12,3,-0.3,0.1,3,-0.32,0.14,3,-0.38,0.13,3
165,19.418,-99.16,923,-0.27,0.14,3,-0.33,0.13,3,-0.33,0.13,3,-0.34,0.12,3,-0.33,0.1,3,-0.24,0.07,1,-0.23,0.08,1,-0.29,0.1,3
166,19.424,-99.166,939,-0.44,0.22,3,-0.5,0.2,3,-0.51,0.2,3,-0.51,0.2,3,-0.47,0.18,3,-0.38,0.14,3,-0.36,0.13,3,-0.45,0.18,3
167,19.404,-99.161,930,-0.32,0.16,3,-0.42,0.17,3,-0.45,0.12,3,-0.41,0.09,3,-0.45,0.1,3,-0.31,0.09,3,-0.27,0.08,3,-0.37,0.11,3
168,19.404,-99.171,814,-0.29,0.14,3,-0.31,0.13,3,-0.32,0.13,3,-0.31,0.15,3,-0.3,0.12,3,-0.26,0.09,3,-0.25,0.09,3,-0.29,0.12,3
169,19.397,-99.165,982,-0.26,0.12,3,-0.3,0.1,3,-0.33,0.08,3,-0.32,0.08,3,-0.32,0.07,3,-0.21,0.06,1,-0.19,0.07,1,-0.27,0.08,3
170,19.42,-99.173,993,-0.58,0.18,3,-0.67,0.12,3,-0.67,0.12,3,-0.68,0.1,3,-0.63,0.1,3,-0.19,0.11,1,-0.17,0.09,1,-0.51,0.11,3
171,19.407,-99.163,950,-0.45,0.14,3,-0.43,0.12,3,-0.4,0.14,3,-0.41,0.13,3,-0.38,0.11,3,-0.33,0.13,3,-0.36,0.15,3,-0.39,0.13,3
172,19.4,-99.178,923,-0.81,0.5,4,-0.84,0.38,4,-0.86,0.39,4,-0.86,0.33,4,-0.83,0.43,4,-0.32,0.37,5,-0.19,0.34,2,-0.67,0.39,4
173,19.42,-99.161,987,-0.32,0.15,3,-0.42,0.12,3,-0.38,0.14,3,-0.39,0.11,3,-0.39,0.12,3,-0.29,0.13,3,-0.25,0.1,3,-0.34,0.12,3
174,19.426,-99.165,792,-0.19,0.11,1,-0.21,0.09,1,-0.23,0.09,1,-0.22,0.07,1,-0.21,0.09,1,-0.17,0.07,1,-0.15,0.05,1,-0.19,0.08,1
175,19.415,-99.175,990,-0.5,0.27,4,-0.47,0.31,4,-0.44,0.3,4,-0.43,0.29,4,-0.47,0.31,4,-0.45,0.21,3,-0.47,0.18,3,-0.46,0.26,4
176,19.415,-99.172,981,-0.26,0.13,3,-0.26,0.13,3,-0.27,0.13,3,-0.26,0.09,3,-0.26,0.11,3,-0.21,0.11,1,-0.23,0.1,1,-0.25,0.11,3
177,19.401,-99.172,969,-0.34,0.18,3,-0.46,0.15,3,-0.43,0.12,3,-0.41,0.16,3,-0.44,0.08,3,-0.3,0.1,3,-0.23,0.11,1,-0.37,0.12,3
178,19.413,-99.155,891,-0.35,0.17,3,-0.35,0.17,3,-0.35,0.18,3,-0.36,0.18,3,-0.31,0.22,3,-0.3,0.17,3,-0.33,0.14,3,-0.33,0.17,3
179,19.409,-99.182,978,-0.7,0.13,3,-0.77,0.12,3,-0.79,0.1,3,-0.78,0.12,3,-0.72,0.12,3,-0.58,0.12,3,-0.49,0.13,3,-0.69,0.12,3
180,19.406,-99.184,927,-0.22,0.21,1,-0.23,0.22,1,-0.17,0.27,2,-0.2,0.24,1,-0.24,0.22,1,-0.18,0.13,1,-0.16,0.15,1,-0.2,0.2,6
181,19.439,-99.208,1050,-0.29,0.2,3,-0.34,0.16,3,-0.34,0.19,3,-0.29,0.18,3,-0.3,0.17,3,-0.3,0.14,3,-0.32,0.12,3,-0.31,0.16,3
182,19.402,-99.176,949,-0.31,0.08,3,-0.33,0.09,3,-0.33,0.11,3,-0.33,0.09,3,-0.33,0.08,3,-0.19,0.13,1,-0.17,0.14,1,-0.28,0.1,3
183,19.422,-99.162,918,-0.2,0.06,1,-0.24,0.06,1,-0.24,0.06,1,-0.24,0.06,1,-0.21,0.06,1,-0.16,0.06,1,-0.13,0.07,1,-0.2,0.06,1
184,19.423,-99.158,971,-0.26,0.07,3,-0.31,0.08,3,-0.31,0.08,3,-0.31,0.08,3,-0.31,0.06,3,-0.18,0.09,1,-0.16,0.13,1,-0.26,0.08,3
185,19.405,-99.17,970,-0.32,0.06,3,-0.37,0.05,3,-0.39,0.05,3,-0.39,0.05,3,-0.36,0.06,3,-0.26,0.07,3,-0.19,0.07,1,-0.32,0.05,3
186,19.44,-99.187,963,-0.29,0.1,3,-0.4,0.1,3,-0.36,0.1,3,-0.38,0.09,3,-0.33,0.09,3,-0.23,0.11,1,-0.19,0.1,1,-0.31,0.09,3
187,19.405,-99.179,913,-0.39,0.07,3,-0.44,0.07,3,-0.47,0.06,3,-0.45,0.06,3,-0.42,0.06,3,-0.3,0.07,3,-0.27,0.08,3,-0.39,0.06,3
188,19.438,-99.193,999,-0.62,0.11,3,-0.59,0.09,3,-0.6,0.08,3,-0.57,0.14,3,-0.59,0.09,3,-0.27,0.16,3,-0.19,0.54,2,-0.49,0.17,3
189,19.438,-99.189,924,-0.24,0.32,2,-0.21,0.45,2,-0.17,0.46,2,-0.19,0.41,2,-0.17,0.39,2,-0.15,0.43,2,-0.25,0.48,5,-0.19,0.42,2
190,19.44,-99.21,986,-0.27,0.16,3,-0.19,0.35,2,-0.2,0.34,2,-0.19,0.3,2,-0.15,0.3,2,-0.13,0.36,2,-0.24,0.41,2,-0.19,0.31,2
191,19.426,-99.204,977,-0.3,0.46,5,-0.31,0.49,5,-0.28,0.5,5,-0.27,0.53,5,-0.33,0.34,5,-0.2,0.15,1,-0.22,0.14,1,-0.27,0.37,5
192,19.443,-99.191,620,-0.33,0.59,5,-0.31,0.61,5,-0.23,0.64,2,-0.25,0.61,5,-0.24,0.54,2,-0.09,0.37,2,-0.08,0.41,2,-0.21,0.53,2
193,19.434,-99.206,845,-0.23,0.4,2,-0.19,0.44,2,-0.16,0.47,2,-0.13,0.46,2,-0.14,0.4,2,-0.07,0.2,1,-0.08,0.24,1,-0.14,0.37,2
194,19.406,-99.167,981,-0.15,0.28,2,-0.12,0.32,2,-0.11,0.33,2,-0.1,0.32,2,-0.12,0.25,2,-0.09,0.07,1,-0.09,0.08,1,-0.11,0.23,1
195,19.428,-99.208,977,-0.16,0.32,2,-0.15,0.36,2,-0.16,0.34,2,-0.17,0.33,2,-0.17,0.24,1,-0.16,0.06,1,-0.15,0.06,1,-0.16,0.24,1
196,19.429,-99.207,1946,-0.17,0.47,2,-0.16,0.5,2,-0.12,0.52,2,-0.13,0.51,2,-0.13,0.51,2,-0.18,0.11,1,-0.17,0.11,1,-0.15,0.38,2
197,19.427,-99.213,981,-0.25,0.46,5,-0.22,0.49,2,-0.2,0.52,2,-0.17,0.49,2,-0.18,0.42,2,-0.14,0.2,1,-0.14,0.2,1,-0.18,0.39,2
198,19.398,-99.167,845,-0.25,0.31,5,-0.26,0.37,5,-0.26,0.36,5,-0.25,0.35,5,-0.24,0.33,2,-0.19,0.11,1,-0.15,0.1,1,-0.22,0.27,2
199,19.396,-99.161,990,-0.6,0.19,3,-0.58,0.17,3,-0.61,0.16,3,-0.56,0.18,3,-0.55,0.13,3,-0.3,0.09,3,-0.29,0.1,3,-0.49,0.14,3
200,19.401,-99.164,892,-0.19,0.5,2,-0.14,0.56,2,-0.15,0.54,2,-0.15,0.57,2,-0.12,0.52,2,-0.12,0.27,2,-0.14,0.21,1,-0.14,0.45,2
201,19.399,-99.161,920,-0.29,0.66,5,-0.24,0.68,2,-0.25,0.67,5,-0.24,0.67,2,-0.22,0.63,2,-0.13,0.48,2,-0.13,0.46,2,-0.21,0.6,2
202,19.391,-99.159,989,-0.15,0.68,2,-0.13,0.72,2,-0.1,0.72,2,-0.12,0.72,2,-0.1,0.7,2,-0.15,0.3,2,-0.15,0.27,2,-0.12,0.58,2
203,19.418,-99.175,968,-0.68,0.25,4,-0.72,0.22,3,-0.7,0.26,4,-0.7,0.2,3,-0.67,0.2,3,-0.44,0.14,3,-0.38,0.12,3,-0.61,0.19,3
204,19.429,-99.154,916,-0.24,0.33,2,-0.23,0.38,2,-0.23,0.36,2,-0.18,0.4,2,-0.19,0.29,2,-0.12,0.15,1,-0.13,0.17,1,-0.18,0.29,2
205,19.388,-99.161,970,-0.44,0.07,3,-0.45,0.07,3,-0.44,0.09,3,-0.45,0.11,3,-0.4,0.06,3,-0.22,0.07,1,-0.17,0.08,1,-0.36,0.07,3
206,19.392,-99.164,971,-0.72,0.19,3,-0.76,0.18,3,-0.74,0.14,3,-0.75,0.13,3,-0.71,0.11,3,-0.45,0.09,3,-0.31,0.09,3,-0.63,0.13,3
207,19.428,-99.17,990,-0.5,0.37,4,-0.53,0.45,4,-0.5,0.43,4,-0.51,0.4,4,-0.47,0.36,4,-0.27,0.21,3,-0.29,0.2,3,-0.43,0.34,4
208,19.428,-99.191,968,-0.23,0.35,2,-0.23,0.41,2,-0.24,0.43,2,-0.22,0.38,2,-0.26,0.21,3,-0.14,0.05,1,-0.14,0.05,1,-0.2,0.26,2
209,19.386,-99.161,981,-0.2,0.46,2,-0.19,0.53,2,-0.16,0.53,2,-0.15,0.53,2,-0.19,0.42,2,-0.1,0.2,1,-0.1,0.24,1,-0.15,0.41,2
210,19.412,-99.19,985,-0.25,0.37,5,-0.2,0.42,2,-0.21,0.4,2,-0.22,0.38,2,-0.26,0.26,6,-0.17,0.16,1,-0.18,0.15,1,-0.21,0.3,2
211,19.394,-99.162,982,-0.29,0.4,5,-0.24,0.44,2,-0.22,0.44,2,-0.21,0.45,2,-0.2,0.39,2,-0.15,0.3,2,-0.13,0.41,2,-0.2,0.4,2
212,19.41,-99.188,982,-0.19,0.76,2,-0.12,0.8,2,-0.14,0.79,2,-0.11,0.78,2,-0.11,0.73,2,-0.15,0.52,2,-0.14,0.47,2,-0.13,0.69,2
213,19.43,-99.178,991,-0.27,0.53,5,-0.31,0.57,5,-0.3,0.55,5,-0.26,0.55,5,-0.26,0.49,5,-0.2,0.38,2,-0.21,0.28,2,-0.25,0.47,5
214,19.435,-99.146,973,-0.29,0.5,5,-0.31,0.5,5,-0.28,0.47,5,-0.27,0.47,5,-0.29,0.35,5,-0.12,0.05,1,-0.1,0.06,1,-0.23,0.34,2
215,19.434,-99.173,982,-0.18,0.33,2,-0.17,0.42,2,-0.18,0.36,2,-0.17,0.38,2,-0.23,0.21,1,-0.09,0.07,1,-0.1,0.08,1,-0.16,0.26,2
216,19.438,-99.177,972,-0.17,0.37,2,-0.16,0.41,2,-0.15,0.42,2,-0.15,0.4,2,-0.17,0.31,2,-0.11,0.16,1,-0.11,0.22,1,-0.14,0.32,2
217,19.434,-99.147,957,-0.42,0.61,5,-0.38,0.65,5,-0.41,0.63,5,-0.41,0.63,5,-0.38,0.61,5,-0.27,0.59,5,-0.22,0.7,2,-0.35,0.63,5
