idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
218,19.405,-99.175,971,-0.21,0.22,1,-0.23,0.23,6,-0.2,0.23,1,-0.21,0.24,1,-0.2,0.21,1,-0.11,0.16,1,-0.12,0.19,1,-0.18,0.21,1
219,19.434,-99.18,984,-0.28,0.37,5,-0.22,0.44,2,-0.23,0.44,2,-0.23,0.44,2,-0.22,0.36,2,-0.17,0.26,2,-0.18,0.27,2,-0.21,0.36,2
220,19.444,-99.18,961,-0.15,0.39,2,-0.11,0.44,2,-0.12,0.47,2,-0.11,0.47,2,-0.11,0.4,2,-0.09,0.2,1,-0.09,0.23,1,-0.11,0.37,2
221,19.399,-99.157,949,-0.12,0.55,2,-0.12,0.62,2,-0.18,0.61,2,-0.13,0.59,2,-0.12,0.54,2,-0.09,0.14,1,-0.1,0.14,1,-0.12,0.45,2
222,19.446,-99.182,968,-0.34,0.35,5,-0.38,0.41,5,-0.33,0.41,5,-0.34,0.4,5,-0.34,0.34,6,-0.17,0.07,1,-0.13,0.09,1,-0.29,0.29,6
223,19.431,-99.182,982,-0.19,0.25,2,-0.17,0.27,2,-0.18,0.25,2,-0.17,0.25,2,-0.21,0.16,1,-0.1,0.08,1,-0.13,0.09,1,-0.16,0.19,1
224,19.437,-99.18,845,-0.14,0.14,6,-0.12,0.16,1,-0.11,0.16,1,-0.11,0.15,1,-0.13,0.12,1,-0.09,0.1,1,-0.08,0.16,1,-0.11,0.14,1
225,19.437,-99.158,984,-0.24,0.31,2,-0.22,0.4,2,-0.21,0.39,2,-0.19,0.39,2,-0.18,0.35,2,-0.11,0.25,2,-0.1,0.37,2,-0.17,0.35,2
226,19.427,-99.156,967,-0.14,0.37,2,-0.14,0.43,2,-0.11,0.44,2,-0.1,0.42,2,-0.13,0.32,2,-0.09,0.16,1,-0.08,0.4,2,-0.11,0.36,2
227,19.439,-99.181,970,-0.21,0.23,1,-0.2,0.24,1,-0.2,0.24,1,-0.16,0.26,2,-0.19,0.21,1,-0.14,0.2,1,-0.11,0.3,2,-0.17,0.24,1
228,19.433,-99.155,1842,-0.3,0.17,3,-0.32,0.17,3,-0.31,0.15,3,-0.32,0.17,3,-0.27,0.15,3,-0.18,0.11,1,-0.18,0.26,2,-0.26,0.16,3
229,19.438,-99.152,269,-0.17,0.19,1,-0.15,0.16,1,-0.17,0.18,1,-0.15,0.19,1,-0.16,0.14,1,-0.05,0.04,1,-0.05,0.05,6,-0.12,0.13,1
230,19.44,-99.156,268,-0.18,0.13,1,-0.19,0.12,1,-0.19,0.11,1,-0.17,0.11,1,-0.16,0.11,1,-0.06,0.03,1,-0.06,0.03,1,-0.14,0.09,1
231,19.437,-99.154,271,-0.24,0.06,1,-0.24,0.05,1,-0.22,0.05,1,-0.19,0.06,1,-0.18,0.07,1,-0.09,0.08,1,-0.1,0.09,1,-0.18,0.06,1
232,19.432,-99.177,271,-0.28,0.09,3,-0.28,0.09,3,-0.27,0.09,3,-0.22,0.08,1,-0.23,0.12,1,-0.13,0.1,1,-0.1,0.14,1,-0.21,0.1,1
233,19.442,-99.184,919,-0.11,0.48,2,-0.1,0.52,2,-0.08,0.52,2,-0.08,0.51,2,-0.08,0.44,2,-0.08,0.08,6,-0.08,0.11,1,-0.08,0.38,2
234,19.441,-99.162,975,-0.16,0.21,1,-0.13,0.25,2,-0.14,0.24,1,-0.13,0.25,2,-0.14,0.21,1,-0.08,0.13,1,-0.08,0.14,1,-0.12,0.2,1
235,19.427,-99.194,947,-0.09,0.12,1,-0.09,0.13,1,-0.09,0.13,1,-0.08,0.12,1,-0.1,0.1,6,-0.05,0.05,6,-0.06,0.06,6,-0.08,0.1,1
236,19.422,-99.15,964,-0.11,0.65,2,-0.1,0.66,2,-0.08,0.67,2,-0.09,0.69,2,-0.08,0.64,2,-0.05,0.37,2,-0.06,0.35,2,-0.08,0.57,2
237,19.433,-99.144,971,-0.43,0.58,5,-0.38,0.58,5,-0.39,0.52,5,-0.34,0.57,5,-0.38,0.43,5,-0.32,0.19,3,-0.37,0.18,3,-0.37,0.43,5
238,19.437,-99.134,964,-0.13,0.23,1,-0.11,0.25,2,-0.12,0.24,1,-0.11,0.24,1,-0.13,0.17,1,-0.11,0.05,1,-0.1,0.05,1,-0.11,0.17,1
239,19.429,-99.202,839,-0.08,0.08,6,-0.09,0.09,6,-0.09,0.08,1,-0.09,0.07,1,-0.09,0.05,1,-0.07,0.03,1,-0.06,0.03,1,-0.08,0.06,1
240,19.427,-99.137,1024,-0.44,0.63,5,-0.38,0.66,5,-0.41,0.62,5,-0.36,0.66,5,-0.32,0.63,5,-0.3,0.22,3,-0.3,0.2,3,-0.35,0.51,5
241,19.418,-99.163,957,-0.18,0.66,2,-0.18,0.71,2,-0.17,0.71,2,-0.17,0.66,2,-0.18,0.66,2,-0.13,0.14,1,-0.15,0.12,1,-0.16,0.52,2
242,19.438,-99.164,966,-0.15,0.31,2,-0.15,0.34,2,-0.13,0.34,2,-0.14,0.33,2,-0.14,0.28,2,-0.11,0.05,1,-0.1,0.06,1,-0.13,0.24,1
243,19.431,-99.134,1028,-0.25,0.4,5,-0.23,0.46,2,-0.22,0.47,2,-0.22,0.44,2,-0.25,0.38,5,-0.18,0.13,1,-0.16,0.13,1,-0.21,0.34,2
244,19.42,-99.176,978,-0.18,0.57,2,-0.19,0.57,2,-0.17,0.59,2,-0.21,0.58,2,-0.18,0.54,2,-0.09,0.14,1,-0.1,0.16,1,-0.16,0.45,2
245,19.413,-99.172,986,-0.12,0.16,1,-0.12,0.18,1,-0.13,0.17,1,-0.12,0.17,1,-0.14,0.12,1,-0.11,0.04,1,-0.11,0.05,1,-0.12,0.12,6
246,19.432,-99.14,979,-0.15,0.43,2,-0.13,0.47,2,-0.15,0.44,2,-0.17,0.42,2,-0.18,0.38,2,-0.14,0.11,1,-0.11,0.18,1,-0.14,0.34,2
247,19.431,-99.16,961,-0.2,0.48,2,-0.15,0.56,2,-0.18,0.55,2,-0.14,0.55,2,-0.13,0.55,2,-0.11,0.27,2,-0.1,0.3,2,-0.14,0.46,2
248,19.426,-99.171,1047,-0.55,0.18,3,-0.63,0.19,3,-0.66,0.16,3,-0.64,0.13,3,-0.59,0.13,3,-0.3,0.11,3,-0.29,0.08,3,-0.52,0.14,3
249,19.409,-99.177,1050,-0.45,0.08,3,-0.49,0.1,3,-0.52,0.08,3,-0.51,0.07,3,-0.48,0.08,3,-0.26,0.09,3,-0.23,0.08,1,-0.42,0.08,3
250,19.428,-99.167,1014,-0.31,0.08,3,-0.38,0.07,3,-0.36,0.08,3,-0.38,0.08,3,-0.32,0.09,3,-0.22,0.08,1,-0.2,0.08,1,-0.31,0.08,3
251,19.425,-99.171,982,-0.15,0.07,1,-0.16,0.08,1,-0.16,0.08,1,-0.14,0.08,1,-0.15,0.09,1,-0.12,0.07,1,-0.14,0.07,1,-0.14,0.07,1
252,19.434,-99.162,1011,-0.57,0.39,4,-0.66,0.4,4,-0.63,0.36,4,-0.67,0.34,4,-0.57,0.38,4,-0.22,0.4,2,-0.25,0.36,5,-0.51,0.37,4
253,19.425,-99.173,978,-0.28,0.24,3,-0.31,0.26,4,-0.31,0.25,4,-0.3,0.24,3,-0.28,0.26,4,-0.08,0.21,1,-0.08,0.24,1,-0.23,0.24,1
254,19.419,-99.155,1047,-0.23,0.6,2,-0.21,0.64,2,-0.2,0.64,2,-0.18,0.65,2,-0.16,0.6,2,-0.08,0.19,1,-0.11,0.37,2,-0.16,0.52,2
255,19.435,-99.134,985,-0.49,0.34,4,-0.43,0.36,4,-0.4,0.4,6,-0.42,0.35,4,-0.41,0.4,4,-0.3,0.5,5,-0.26,0.66,5,-0.38,0.43,5
256,19.421,-99.155,1049,-0.3,0.07,3,-0.33,0.07,3,-0.35,0.07,3,-0.36,0.06,3,-0.31,0.07,3,-0.18,0.08,1,-0.17,0.06,1,-0.28,0.06,3
257,19.416,-99.16,984,-0.59,0.21,3,-0.63,0.24,3,-0.63,0.16,3,-0.65,0.17,3,-0.58,0.19,3,-0.11,0.11,6,-0.12,0.09,1,-0.47,0.16,3
258,19.437,-99.131,965,-0.53,0.18,3,-0.58,0.19,3,-0.59,0.18,3,-0.6,0.14,3,-0.51,0.18,3,-0.18,0.12,1,-0.16,0.13,1,-0.45,0.16,3
259,19.435,-99.174,250,-0.73,0.71,4,-0.77,0.73,4,-0.78,0.73,4,-0.76,0.59,4,-0.8,0.68,4,-0.19,0.45,2,-0.24,0.35,2,-0.61,0.6,4
260,19.43,-99.181,261,-0.84,0.56,4,-0.85,0.48,4,-0.9,0.61,4,-0.87,0.62,4,-0.83,0.56,4,-0.19,0.42,2,-0.21,0.2,1,-0.67,0.49,4
261,19.354,-99.162,980,-0.55,0.18,3,-0.57,0.16,3,-0.63,0.11,3,-0.63,0.12,3,-0.59,0.15,3,-0.15,0.09,1,-0.11,0.09,1,-0.46,0.12,3
262,19.395,-99.176,236,-0.19,0.12,1,-0.21,0.13,1,-0.21,0.16,1,-0.27,0.17,3,-0.24,0.08,1,-0.08,0.06,1,-0.07,0.05,1,-0.18,0.11,1
263,19.424,-99.161,1020,-0.51,0.33,4,-0.49,0.3,4,-0.51,0.32,4,-0.53,0.31,4,-0.39,0.36,4,-0.27,0.4,5,-0.21,0.46,2,-0.41,0.35,4
264,19.428,-99.177,271,-0.83,0.49,4,-0.84,0.46,4,-0.84,0.43,4,-0.84,0.48,4,-0.79,0.47,4,-0.6,0.1,3,-0.4,0.09,3,-0.73,0.36,4
265,19.429,-99.175,978,-0.81,0.62,4,-0.85,0.63,4,-0.86,0.58,4,-0.84,0.53,4,-0.85,0.54,4,-0.46,0.45,4,-0.3,0.48,5,-0.71,0.54,4
266,19.427,-99.16,265,-0.41,0.38,4,-0.44,0.38,4,-0.5,0.31,4,-0.48,0.32,4,-0.41,0.31,4,-0.11,0.12,1,-0.11,0.14,1,-0.35,0.28,4
267,19.429,-99.18,263,-0.25,0.09,3,-0.2,0.13,1,-0.2,0.15,1,-0.19,0.13,1,-0.18,0.1,1,-0.1,0.08,1,-0.09,0.08,1,-0.17,0.1,1
268,19.433,-99.184,913,-0.18,0.16,1,-0.2,0.16,1,-0.21,0.17,1,-0.2,0.14,1,-0.17,0.12,1,-0.11,0.18,1,-0.1,0.15,1,-0.16,0.15,1
269,19.431,-99.188,820,-0.48,0.34,4,-0.51,0.35,4,-0.5,0.34,4,-0.51,0.3,4,-0.46,0.22,3,-0.28,0.24,3,-0.23,0.28,2,-0.42,0.29,4
270,19.434,-99.2,1017,-0.26,0.12,3,-0.31,0.12,3,-0.32,0.11,3,-0.3,0.09,3,-0.28,0.08,3,-0.22,0.09,1,-0.15,0.11,1,-0.26,0.1,3
271,19.436,-99.199,894,-0.23,0.11,1,-0.23,0.12,1,-0.22,0.12,1,-0.22,0.14,1,-0.21,0.1,1,-0.16,0.13,1,-0.19,0.12,1,-0.2,0.12,1
272,19.439,-99.206,989,-0.43,0.57,5,-0.44,0.57,5,-0.44,0.51,5,-0.41,0.51,5,-0.32,0.57,5,-0.18,0.57,2,-0.14,0.59,2,-0.33,0.55,5
273,19.42,-99.166,1003,-0.24,0.22,1,-0.25,0.24,3,-0.29,0.22,3,-0.28,0.19,3,-0.25,0.17,3,-0.16,0.14,1,-0.15,0.11,1,-0.23,0.18,1
274,19.417,-99.179,1029,-0.18,0.09,1,-0.2,0.09,1,-0.21,0.07,1,-0.22,0.07,1,-0.2,0.06,1,-0.13,0.07,1,-0.11,0.07,1,-0.17,0.07,1
275,19.431,-99.164,1018,-0.34,0.16,3,-0.29,0.16,3,-0.29,0.16,3,-0.28,0.16,3,-0.27,0.19,3,-0.21,0.18,1,-0.21,0.18,1,-0.27,0.17,3
276,19.433,-99.168,1042,-0.08,0.28,2,-0.09,0.26,2,-0.09,0.3,2,-0.06,0.26,2,-0.1,0.22,1,-0.09,0.08,1,-0.11,0.06,1,-0.08,0.2,1
277,19.442,-99.165,989,-0.25,0.07,3,-0.33,0.06,3,-0.35,0.06,3,-0.34,0.05,3,-0.32,0.04,3,-0.21,0.05,1,-0.18,0.06,1,-0.28,0.05,3
278,19.429,-99.164,1043,-0.23,0.04,1,-0.29,0.05,3,-0.3,0.04,3,-0.3,0.05,3,-0.3,0.04,3,-0.18,0.04,1,-0.15,0.05,1,-0.25,0.04,3
279,19.421,-99.171,1042,-0.27,0.06,3,-0.3,0.05,3,-0.31,0.05,3,-0.3,0.04,3,-0.28,0.05,3,-0.18,0.05,1,-0.16,0.05,1,-0.25,0.05,3
280,19.42,-99.174,162,-0.09,0.08,1,-0.12,0.1,1,-0.09,0.06,1,-0.12,0.08,1,-0.12,0.08,1,-0.1,0.06,1,-0.12,0.08,1,-0.1,0.07,1
281,19.424,-99.173,911,-0.08,0.33,2,-0.07,0.34,2,-0.05,0.36,2,-0.07,0.36,2,-0.06,0.34,2,-0.07,0.14,1,-0.08,0.11,1,-0.06,0.28,2
282,19.425,-99.163,894,-0.19,0.3,2,-0.17,0.28,2,-0.15,0.32,2,-0.16,0.29,2,-0.15,0.27,2,-0.16,0.12,1,-0.16,0.11,1,-0.16,0.24,1
283,19.429,-99.185,885,-0.11,0.17,1,-0.12,0.15,1,-0.1,0.16,1,-0.11,0.15,1,-0.1,0.15,1,-0.1,0.13,1,-0.1,0.12,1,-0.1,0.14,1
284,19.432,-99.207,1028,-0.2,0.15,1,-0.22,0.16,1,-0.21,0.17,1,-0.22,0.15,1,-0.21,0.18,1,-0.15,0.12,1,-0.17,0.08,1,-0.19,0.14,1
285,19.441,-99.177,916,-0.3,0.29,4,-0.35,0.31,4,-0.34,0.28,4,-0.33,0.27,4,-0.31,0.27,4,-0.16,0.23,1,-0.17,0.16,1,-0.28,0.25,4
286,19.439,-99.178,821,-0.22,0.13,1,-0.27,0.09,3,-0.27,0.08,3,-0.28,0.06,3,-0.23,0.09,1,-0.16,0.09,1,-0.12,0.08,1,-0.22,0.08,1
287,19.443,-99.152,901,-0.19,0.08,1,-0.23,0.06,1,-0.23,0.07,1,-0.24,0.07,1,-0.2,0.06,1,-0.11,0.06,1,-0.1,0.05,1,-0.18,0.06,1
288,19.441,-99.194,1011,-0.23,0.13,1,-0.29,0.1,3,-0.29,0.08,3,-0.3,0.08,3,-0.28,0.09,3,-0.19,0.09,1,-0.17,0.08,1,-0.25,0.09,3
289,19.433,-99.208,904,-0.1,0.1,6,-0.1,0.09,1,-0.1,0.09,1,-0.1,0.09,1,-0.09,0.11,1,-0.07,0.09,1,-0.1,0.07,1,-0.09,0.09,6
290,19.445,-99.194,1026,-0.19,0.15,1,-0.18,0.14,1,-0.16,0.16,6,-0.19,0.17,1,-0.16,0.13,1,-0.14,0.1,1,-0.15,0.09,1,-0.16,0.13,1
291,19.434,-99.166,758,-0.3,0.58,5,-0.27,0.6,5,-0.26,0.65,5,-0.27,0.59,5,-0.28,0.58,5,-0.2,0.19,1,-0.19,0.12,1,-0.25,0.47,5
292,19.426,-99.203,1032,-0.39,0.67,5,-0.4,0.7,5,-0.41,0.7,5,-0.37,0.71,5,-0.29,0.69,5,-0.12,0.41,2,-0.15,0.26,2,-0.3,0.59,5
293,19.437,-99.187,913,-0.2,0.65,2,-0.15,0.72,2,-0.13,0.7,2,-0.15,0.69,2,-0.12,0.66,2,-0.13,0.28,2,-0.1,0.24,1,-0.14,0.56,2
294,19.434,-99.19,912,-0.14,0.43,2,-0.16,0.45,2,-0.16,0.5,2,-0.16,0.46,2,-0.13,0.45,2,-0.12,0.21,1,-0.12,0.14,1,-0.14,0.37,2
295,19.432,-99.202,1045,-0.16,0.4,2,-0.17,0.45,2,-0.16,0.46,2,-0.17,0.47,2,-0.14,0.47,2,-0.13,0.21,1,-0.1,0.27,2,-0.14,0.39,2
296,19.434,-99.194,1038,-0.17,0.16,1,-0.16,0.22,1,-0.16,0.22,1,-0.14,0.24,1,-0.12,0.2,1,-0.13,0.1,1,-0.1,0.12,1,-0.14,0.18,1
297,19.436,-99.201,906,-0.25,0.08,3,-0.3,0.08,3,-0.3,0.08,3,-0.27,0.08,3,-0.25,0.09,3,-0.18,0.08,1,-0.19,0.08,1,-0.24,0.08,1
298,19.429,-99.197,164,-0.31,0.15,3,-0.28,0.13,3,-0.31,0.1,3,-0.23,0.12,1,-0.31,0.17,3,-0.16,0.1,1,-0.17,0.12,1,-0.25,0.12,3
299,19.429,-99.201,1043,-0.27,0.1,3,-0.34,0.08,3,-0.37,0.08,3,-0.34,0.08,3,-0.33,0.07,3,-0.18,0.09,1,-0.18,0.07,1,-0.28,0.08,3
300,19.431,-99.158,841,-0.34,0.11,3,-0.33,0.09,3,-0.36,0.1,3,-0.32,0.11,3,-0.3,0.1,3,-0.29,0.11,3,-0.27,0.12,3,-0.31,0.1,3
301,19.431,-99.192,883,-0.11,0.09,1,-0.12,0.08,1,-0.12,0.08,1,-0.11,0.09,1,-0.11,0.08,1,-0.09,0.07,1,-0.11,0.06,1,-0.1,0.07,1
302,19.368,-99.182,942,-0.08,0.35,2,-0.08,0.4,2,-0.07,0.41,2,-0.06,0.4,2,-0.06,0.41,2,-0.06,0.14,1,-0.09,0.12,1,-0.07,0.31,2
303,19.44,-99.201,887,-0.14,0.2,1,-0.14,0.22,1,-0.14,0.23,1,-0.13,0.23,1,-0.12,0.21,1,-0.11,0.1,1,-0.11,0.07,1,-0.12,0.18,1
304,19.417,-99.174,896,-0.19,0.12,1,-0.2,0.12,1,-0.18,0.11,1,-0.16,0.13,1,-0.17,0.15,1,-0.17,0.09,1,-0.16,0.09,1,-0.17,0.11,1
305,19.413,-99.161,1015,-0.22,0.08,1,-0.23,0.08,1,-0.21,0.08,1,-0.22,0.06,1,-0.2,0.07,1,-0.13,0.07,1,-0.15,0.07,1,-0.19,0.07,1
306,19.413,-99.164,890,-0.23,0.05,1,-0.24,0.06,1,-0.24,0.05,1,-0.24,0.05,1,-0.21,0.06,1,-0.15,0.06,1,-0.14,0.06,1,-0.2,0.05,1
307,19.408,-99.16,1016,-0.22,0.08,1,-0.26,0.07,3,-0.25,0.08,3,-0.26,0.08,3,-0.25,0.06,3,-0.15,0.06,1,-0.12,0.06,1,-0.21,0.07,1
308,19.431,-99.186,841,-0.39,0.21,3,-0.44,0.23,3,-0.47,0.22,3,-0.48,0.19,3,-0.42,0.2,3,-0.23,0.16,1,-0.23,0.16,1,-0.38,0.19,3
309,19.442,-99.159,1015,-0.18,0.07,1,-0.18,0.07,1,-0.18,0.06,1,-0.18,0.07,1,-0.15,0.06,1,-0.1,0.07,1,-0.11,0.07,1,-0.15,0.06,1
310,19.418,-99.168,902,-0.22,0.09,1,-0.21,0.1,1,-0.21,0.09,1,-0.21,0.08,1,-0.2,0.09,1,-0.16,0.1,1,-0.17,0.08,1,-0.19,0.09,1
311,19.404,-99.184,1040,-0.2,0.1,1,-0.22,0.1,1,-0.22,0.08,1,-0.22,0.1,1,-0.19,0.09,1,-0.16,0.09,1,-0.15,0.08,1,-0.19,0.09,1
312,19.436,-99.18,1044,-0.26,0.18,3,-0.27,0.19,3,-0.27,0.23,3,-0.28,0.21,3,-0.26,0.2,3,-0.22,0.15,1,-0.24,0.17,1,-0.25,0.18,3
313,19.443,-99.162,823,-0.12,0.55,2,-0.14,0.57,2,-0.1,0.59,2,-0.12,0.59,2,-0.12,0.57,2,-0.11,0.15,1,-0.14,0.15,1,-0.12,0.45,2
314,19.422,-99.158,1026,-0.21,0.13,1,-0.21,0.16,1,-0.18,0.15,1,-0.15,0.17,1,-0.16,0.13,1,-0.14,0.11,1,-0.16,0.12,1,-0.17,0.13,1
315,19.413,-99.175,888,-0.41,0.1,3,-0.47,0.1,3,-0.49,0.09,3,-0.48,0.08,3,-0.47,0.08,3,-0.33,0.1,3,-0.31,0.09,3,-0.42,0.09,3
316,19.414,-99.169,899,-0.37,0.05,3,-0.41,0.05,3,-0.42,0.04,3,-0.4,0.05,3,-0.39,0.04,3,-0.21,0.04,1,-0.18,0.04,1,-0.34,0.04,3
317,19.421,-99.163,1036,-0.38,0.06,3,-0.41,0.05,3,-0.43,0.06,3,-0.42,0.05,3,-0.39,0.04,3,-0.22,0.06,1,-0.25,0.06,3,-0.35,0.05,3
318,19.412,-99.174,894,-0.47,0.06,3,-0.52,0.06,3,-0.55,0.05,3,-0.52,0.07,3,-0.49,0.05,3,-0.28,0.06,3,-0.26,0.06,3,-0.44,0.05,3
319,19.427,-99.144,1043,-0.27,0.07,3,-0.34,0.06,3,-0.37,0.05,3,-0.33,0.06,3,-0.33,0.04,3,-0.18,0.05,1,-0.16,0.05,1,-0.28,0.05,3
320,19.426,-99.178,1041,-0.43,0.08,3,-0.43,0.06,3,-0.46,0.06,3,-0.41,0.06,3,-0.37,0.07,3,-0.25,0.07,3,-0.26,0.08,3,-0.37,0.06,3
321,19.442,-99.167,893,-0.16,0.33,2,-0.16,0.38,2,-0.18,0.38,2,-0.16,0.39,2,-0.15,0.35,2,-0.11,0.15,1,-0.13,0.12,1,-0.15,0.3,2
322,19.442,-99.156,1040,-0.11,0.32,2,-0.1,0.35,2,-0.11,0.37,2,-0.1,0.34,2,-0.1,0.31,2,-0.1,0.09,1,-0.08,0.08,6,-0.1,0.26,2
323,19.411,-99.161,892,-0.12,0.13,1,-0.14,0.12,1,-0.13,0.14,1,-0.14,0.11,1,-0.12,0.12,6,-0.14,0.08,1,-0.13,0.07,1,-0.13,0.11,1
324,19.446,-99.161,1048,-0.2,0.13,1,-0.23,0.11,1,-0.21,0.12,1,-0.23,0.11,1,-0.22,0.1,1,-0.18,0.08,1,-0.17,0.09,1,-0.2,0.1,1
325,19.444,-99.165,881,-0.16,0.14,1,-0.17,0.13,1,-0.18,0.13,1,-0.16,0.14,1,-0.17,0.15,1,-0.14,0.09,1,-0.13,0.09,1,-0.15,0.12,1
326,19.445,-99.157,1007,-0.2,0.07,1,-0.19,0.07,1,-0.19,0.06,1,-0.2,0.06,1,-0.17,0.07,1,-0.11,0.09,1,-0.14,0.08,1,-0.17,0.07,1
